"Owner ID","Openness","Conscientiousness","Extraversion","Agreeableness","Neuroticism"
"22656.json","0.9946997","0.22462684","0.06540119","1.5219711E-5","0.74140537"
"613430.json","0.98961437","0.27075642","0.024523709","2.3867258E-4","0.8610702"
"131679.json","0.9930841","0.04689849","0.0036282747","0.0029853776","0.6467781"
"489564.json","0.9875062","0.4780656","0.09124322","0.0016542961","0.9041774"
"394487.json","0.9780582","0.80450505","0.10598879","0.005361034","0.98027277"
"893.json","0.9986795","0.7532877","0.21438105","0.009023628","0.9468528"
"157247.json","0.9992767","0.22001883","0.27087864","0.003072022","0.91643465"
"18300.json","0.9980829","0.7703064","0.18146192","0.0019678164","0.9619737"
"366904.json","0.98824257","0.46397153","0.15845197","0.008040557","0.8912838"
"456584.json","0.99050426","0.21655326","0.108199276","0.0017368979","0.7109455"
"361023.json","0.99919504","0.14296222","0.09874068","2.9361455E-4","0.75747377"
"119963.json","0.9560167","0.869591","0.19011824","0.17789832","0.9671549"
"227665.json","0.97983354","0.39861342","0.0673142","0.0041996217","0.86960495"
"559745.json","0.96718353","0.57077956","0.090307236","0.0094226375","0.89155614"
"92315.json","0.9862303","0.54168355","0.0736024","9.7338145E-4","0.91800255"
"168288.json","0.99486405","0.3450882","0.20319097","0.0011516995","0.93166167"
"2301450.json","0.98675275","0.54358846","0.2437349","2.487403E-4","0.9502767"
"4099593.json","0.99797744","0.6181923","0.030840872","0.0017844244","0.9334994"
"9021.json","0.9993849","0.21723005","0.07845085","0.0046093483","0.8772937"
"541136.json","0.99510026","0.19895913","0.4230711","0.0025778462","0.8727294"
"229044.json","0.9963718","0.5402979","0.3128504","0.0014698374","0.9763465"
"259038.json","0.99411654","0.6299468","0.16321945","0.0024806117","0.85159755"
"100297.json","0.9852766","0.48082706","0.1656316","3.07679E-4","0.92420125"
"25847.json","0.9997165","0.3129096","0.10736342","0.005339198","0.84421456"
"3956566.json","0.99233854","0.39063844","0.19976291","0.0041302955","0.90545505"
"12870.json","0.9916619","0.23896538","0.25598127","0.0036685232","0.8017133"
"563532.json","0.9996824","0.6790011","0.22866125","0.006582726","0.89732796"
"922184.json","0.9662616","0.6580328","0.40606353","0.0030727533","0.94180024"
"342235.json","0.9653202","0.26014856","0.07298129","0.005694698","0.74496704"
"426671.json","0.9651727","0.5031271","0.2586599","0.062350556","0.9250531"
"1109.json","0.9966478","0.37494624","0.23988198","7.051163E-4","0.98209745"
"256196.json","0.99458295","0.60604566","0.120054185","0.0010811875","0.91341424"
"4342498.json","0.95642143","0.5756265","0.17822121","0.0043985317","0.7965085"
"1252759.json","0.9463738","0.09327561","0.41215318","0.0035211097","0.5306317"
"6068.json","0.9921415","0.36146355","0.14248264","9.6573296E-4","0.9332319"
"5486.json","0.8054486","0.66398937","0.11601341","0.031401075","0.9773623"
"189134.json","0.9989103","0.56333053","0.5427245","0.007167446","0.954207"
"14069.json","0.9898049","0.2611814","0.09471986","1.0914358E-4","0.9207356"
"7473.json","0.9187705","0.20182699","0.040796753","9.6149146E-5","0.89900583"
"871050.json","0.99024093","0.5041042","0.1882317","0.0010485712","0.92763364"
"4642.json","0.9982513","0.538954","0.18380997","9.476016E-4","0.8909326"
"214090.json","0.9956575","0.81533617","0.20334129","0.011331245","0.98018676"
"571.json","0.992459","0.39572886","0.2660384","8.172154E-5","0.96733767"
"7412.json","0.9969808","0.66485614","0.17587411","0.004171352","0.94225305"
"3002139.json","0.98431087","0.37036484","0.21127442","0.0026201182","0.84263057"
"2231815.json","0.93639857","0.5379268","0.1583111","6.774507E-4","0.95700717"
"116.json","0.99743086","0.39629477","0.18356128","0.0017671931","0.88007486"
"338204.json","0.92846227","0.24613199","0.10332981","0.001665212","0.8546594"
"1288.json","0.9998131","0.22656338","0.27093056","1.536804E-4","0.92120576"
